"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000162267",1.103828,-2.233958,2.021864,0.05438678,0.1854673,-4.108494
"ENSG00000175262",-0.797835,-0.7279082,-2.021675,0.05440769,0.1855193,-4.291813
"ENSG00000156103",1.133982,-3.991695,2.021613,0.05441449,0.185523,-4.110237
"ENSG00000258773",0.9334541,-4.378205,2.021538,0.0544228,0.185532,-4.13382
"ENSG00000267002",-0.4540429,2.044856,-2.021423,0.05443552,0.1855529,-4.736677
"ENSG00000286944",0.9279539,-4.221963,2.02138,0.05444028,0.1855529,-4.126196
"ENSG00000148672",-0.1750066,7.351887,-2.021246,0.05445512,0.1855841,-5.51343
"ENSG00000165376",0.8853832,-4.118443,2.020999,0.05448243,0.1856577,-4.120026
"ENSG00000259250",0.6817802,-1.214174,2.020861,0.05449766,0.1856615,-4.232384
"ENSG00000126010",-0.7420414,-1.41504,-2.020838,0.0545002,0.1856615,-4.202059
"ENSG00000225401",0.8058625,-1.639153,2.020826,0.05450159,0.1856615,-4.176955
"ENSG00000244560",-0.4551955,1.421346,-2.020783,0.05450628,0.1856615,-4.631552
"ENSG00000215548",1.369739,-2.215146,2.020516,0.05453586,0.1857429,-4.113884
"ENSG00000113790",-0.4640251,1.610167,-2.020402,0.05454849,0.1857665,-4.664506
"ENSG00000215114",-0.2673089,5.335622,-2.020169,0.05457439,0.1857979,-5.250203
"ENSG00000163359",0.8691583,1.085579,2.020166,0.05457466,0.1857979,-4.577362
"ENSG00000136315",1.285199,0.5205891,2.020165,0.0545748,0.1857979,-4.480178
"ENSG00000171444",-0.4319193,1.901499,-2.020052,0.05458733,0.1858087,-4.714808
"ENSG00000244267",0.9659867,-4.301211,2.020034,0.05458935,0.1858087,-4.132369
"ENSG00000041802",-0.1587888,5.339657,-2.019769,0.05461865,0.1858891,-5.251921
"ENSG00000073849",-0.2375666,7.955024,-2.019703,0.05462607,0.1858949,-5.594086
"ENSG00000232600",0.8632648,-4.172537,2.019547,0.05464336,0.1859344,-4.126406
"ENSG00000287697",-0.4487534,1.184258,-2.019295,0.05467131,0.1860065,-4.594299
"ENSG00000164778",1.040798,-4.004337,2.019253,0.05467596,0.1860065,-4.114827
"ENSG00000103540",-0.2393511,4.768471,-2.018884,0.05471698,0.1861012,-5.175218
"ENSG00000059769",0.4316638,2.289703,2.018872,0.05471822,0.1861012,-4.787634
"ENSG00000287307",0.897476,-4.160843,2.018807,0.05472549,0.1861012,-4.126743
"ENSG00000173614",-0.3456554,3.299359,-2.018791,0.05472728,0.1861012,-4.953936
"ENSG00000173991",0.8615572,-1.683509,2.018712,0.05473603,0.1861012,-4.174802
"ENSG00000188070",0.3862761,0.5386173,2.018695,0.05473799,0.1861012,-4.493141
"ENSG00000134940",1.026711,-3.975821,2.018526,0.05475677,0.1861097,-4.113743
"ENSG00000259319",0.5785136,1.854969,2.018523,0.05475701,0.1861097,-4.712868
"ENSG00000145832",0.9706944,-3.849402,2.018508,0.0547587,0.1861097,-4.104837
"ENSG00000260314",-0.9590633,0.9499669,-2.018467,0.05476329,0.1861097,-4.550421
"ENSG00000132692",0.916295,-2.638588,2.018401,0.05477064,0.1861122,-4.083562
"ENSG00000096401",-0.170281,6.156274,-2.018358,0.05477545,0.1861122,-5.362522
"ENSG00000100325",0.1625699,7.195391,2.017959,0.05481981,0.1862436,-5.499756
"ENSG00000174930",0.8868534,-4.40473,2.01777,0.05484086,0.1862957,-4.14237
"ENSG00000248307",0.9785193,-4.002347,2.017352,0.05488741,0.1864344,-4.117552
"ENSG00000134760",0.9596836,-4.306762,2.017113,0.05491404,0.1865055,-4.137674
"ENSG00000183798",0.9276316,-4.245643,2.016897,0.05493806,0.1865676,-4.134545
"ENSG00000261210",0.9135707,-4.111418,2.01683,0.0549456,0.1865738,-4.126421
"ENSG00000049089",-0.6518855,4.295109,-2.01675,0.05495443,0.1865844,-5.107617
"ENSG00000134954",-0.2940507,8.266618,-2.016557,0.054976,0.1866382,-5.639661
"ENSG00000239590",0.9473564,-4.380459,2.016298,0.05500495,0.1867171,-4.142731
"ENSG00000185669",-0.433231,3.941844,-2.016065,0.05503096,0.1867859,-5.058674
"ENSG00000144596",1.132773,-2.868974,2.015988,0.05503954,0.1867957,-4.087295
"ENSG00000197503",0.8917869,-4.331034,2.015903,0.05504899,0.1868083,-4.14169
"ENSG00000165699",-0.1712931,6.013717,-2.015805,0.05505997,0.1868261,-5.348356
"ENSG00000277954",1.102406,-3.247165,2.015742,0.05506704,0.1868307,-4.085109
"ENSG00000286018",-0.4011014,0.7114016,-2.015635,0.05507891,0.1868516,-4.523425
"ENSG00000143457",-0.2985736,3.749245,-2.015524,0.05509139,0.1868745,-5.031605
"ENSG00000137337",-0.2939776,4.029138,-2.01535,0.05511085,0.1869211,-5.074548
"ENSG00000134056",0.2617114,3.923266,2.015222,0.05512511,0.18695,-5.061603
"ENSG00000233231",1.070939,-2.658958,2.01517,0.05513094,0.1869504,-4.093006
"ENSG00000231007",1.001487,-3.981964,2.014779,0.05517467,0.1870792,-4.12034
"ENSG00000204310",0.2315689,3.670311,2.014672,0.05518662,0.1871003,-5.023706
"ENSG00000176105",-0.5741593,2.370084,-2.014614,0.05519318,0.1871031,-4.802949
"ENSG00000085117",0.3595328,6.7529,2.014447,0.05521183,0.1871359,-5.448366
"ENSG00000132970",1.194375,-1.573692,2.014425,0.05521433,0.1871359,-4.19322
"ENSG00000255966",1.143229,-3.491409,2.014259,0.05523284,0.1871792,-4.093995
"ENSG00000125166",0.20209,6.301128,2.014144,0.05524578,0.1872036,-5.389912
"ENSG00000133884",-0.2107681,6.716131,-2.013736,0.05529153,0.1873392,-5.443921
"ENSG00000112706",0.8726944,-4.240091,2.013644,0.05530183,0.1873547,-4.140491
"ENSG00000135272",-0.1768107,6.381116,-2.013519,0.0553159,0.1873829,-5.400628
"ENSG00000052723",-0.2376798,5.207854,-2.013233,0.05534791,0.1874703,-5.245434
"ENSG00000250420",1.04432,-3.92865,2.013186,0.0553532,0.1874703,-4.119422
"ENSG00000227666",0.9827138,-3.97105,2.012523,0.05542767,0.1877031,-4.123209
"ENSG00000204084",-0.2226145,4.964421,-2.012419,0.05543935,0.1877232,-5.213917
"ENSG00000266256",1.00039,-2.681962,2.012221,0.05546165,0.1877781,-4.094391
"ENSG00000143643",-0.1962673,5.58998,-2.012172,0.05546709,0.1877781,-5.29876
"ENSG00000185875",-0.4722378,2.009068,-2.012084,0.05547702,0.1877923,-4.746718
"ENSG00000217455",0.7378362,-4.478427,2.011963,0.05549059,0.1878187,-4.158558
"ENSG00000264026",0.7529323,-4.478427,2.011812,0.05550761,0.1878568,-4.15881
"ENSG00000233825",0.7431684,-0.5642025,2.011662,0.05552449,0.1878945,-4.337488
